City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
245,Manthani,IN,2020-08-26 19:47:43,18.65,79.67,76.48,90,100,4.09
246,Sainte-Suzanne,RE,2020-08-26 19:47:43,-20.91,55.61,69.8,64,90,16.11
247,Takoradi,GH,2020-08-26 19:47:43,4.88,-1.76,75.11,86,100,7.94
248,Airai,TL,2020-08-26 19:47:43,-8.93,125.41,57.94,84,25,5.14
249,Huilong,CN,2020-08-26 19:47:44,31.81,121.66,84.0,88,2,10.8
250,Saint Stephen,GB,2020-08-26 19:47:44,50.33,-4.9,60.01,82,99,4.7
251,Faanui,PF,2020-08-26 19:47:44,-16.48,-151.75,77.05,80,13,10.65
252,Bahia Honda,CU,2020-08-26 19:47:44,22.9,-83.16,87.98,67,10,8.16
253,Umm Lajj,SA,2020-08-26 19:47:44,25.02,37.27,84.04,68,0,3.56
254,Wattegama,LK,2020-08-26 19:47:44,6.8,81.48,78.8,94,5,5.82
255,Mirzapur,IN,2020-08-26 19:47:44,25.15,82.58,80.6,94,75,3.36
256,Aswan,EG,2020-08-26 19:47:44,24.09,32.91,90.99,15,61,9.66
257,Gunjur,GM,2020-08-26 19:47:45,13.2,-16.73,75.2,100,40,2.24
258,Uruzgan,AF,2020-08-26 19:47:45,32.83,66.0,68.5,37,0,2.64
259,Koshurnikovo,RU,2020-08-26 19:47:45,54.17,93.3,44.46,100,96,0.96
260,Bambous Virieux,MU,2020-08-26 19:47:45,-20.34,57.76,71.6,83,75,11.41
261,Cervo,ES,2020-08-26 19:47:45,43.67,-7.41,72.0,1,18,5.75
262,Senanga,ZM,2020-08-26 19:47:45,-16.12,23.27,67.62,23,0,2.77
263,Qui Nhon,VN,2020-08-26 19:47:45,13.77,109.23,82.51,73,100,6.98
264,Erenhot,CN,2020-08-26 19:47:45,43.65,111.98,74.01,37,0,8.37
265,Maine-Soroa,NE,2020-08-26 19:47:46,13.21,12.02,82.98,55,88,8.63
266,Khorramabad,IR,2020-08-26 19:47:46,33.49,48.36,78.8,19,0,4.7
267,Bilibino,RU,2020-08-26 19:47:46,68.05,166.44,40.91,89,100,0.67
268,Manoharpur,IN,2020-08-26 19:47:46,27.3,75.95,78.8,100,75,2.24
269,Boa Vista,BR,2020-08-26 19:47:46,2.82,-60.67,80.6,78,75,10.29
270,Davila,PH,2020-08-26 19:47:46,18.47,120.58,81.28,81,100,17.58
271,Hasaki,JP,2020-08-26 19:47:46,35.73,140.83,77.0,100,20,1.12
272,Altay,CN,2020-08-26 19:47:46,47.87,88.12,53.22,50,100,2.57
273,Chuncheng,CN,2020-08-26 19:47:46,22.17,111.79,77.7,87,60,1.63
274,Lasa,IT,2020-08-26 19:47:47,46.62,10.7,62.6,45,5,3.36
275,Neustadt,DE,2020-08-26 19:47:47,49.71,12.09,68.0,45,90,9.17
276,Bjelovar,HR,2020-08-26 19:47:38,45.9,16.85,69.8,77,2,6.93
277,Chama,CH,2020-08-26 19:47:47,47.18,8.46,73.4,43,75,10.29
278,Dong Hoi,VN,2020-08-26 19:47:47,17.48,106.6,83.86,68,100,14.56
279,Oussouye,SN,2020-08-26 19:47:47,12.48,-16.55,77.0,94,40,9.17
280,Alofi,NU,2020-08-26 19:47:47,-19.06,-169.92,71.6,88,78,2.24
281,San Cristobal,VE,2020-08-26 19:47:48,7.77,-72.22,84.2,58,40,9.17
282,Bushenyi,UG,2020-08-26 19:47:48,-0.59,30.21,64.09,80,2,2.75
283,Balabac,PH,2020-08-26 19:47:48,7.99,117.06,81.79,76,96,3.22
284,Chokurdakh,RU,2020-08-26 19:47:48,70.63,147.92,39.31,91,100,5.95
285,Mount Gambier,AU,2020-08-26 19:47:48,-37.83,140.77,44.6,87,43,9.17
286,Broken Hill,AU,2020-08-26 19:47:48,-31.95,141.43,48.2,42,0,8.05
287,Baghdad,IQ,2020-08-26 19:45:14,33.34,44.4,95.0,16,0,9.17
288,Bay-Khaak,RU,2020-08-26 19:47:49,51.17,94.5,47.21,72,85,8.01
289,Say,NE,2020-08-26 19:47:49,13.1,2.37,86.0,62,20,4.7
290,Kahului,US,2020-08-26 19:47:49,20.89,-156.47,86.0,51,20,20.8
291,Uhlove,UA,2020-08-26 19:47:49,44.82,33.6,69.66,80,0,0.34
292,Igarka,RU,2020-08-26 19:47:49,67.47,86.58,54.39,83,82,6.11
293,Altamont,US,2020-08-26 19:47:49,42.21,-121.74,81.0,40,1,4.7
294,Qax,AZ,2020-08-26 19:45:30,41.42,46.92,69.8,68,20,9.17
295,Beyneu,KZ,2020-08-26 19:45:17,45.32,55.2,74.21,25,0,1.81
296,Balkhash,KZ,2020-08-26 19:47:50,46.84,74.98,67.69,57,100,19.82
297,Sangar,RU,2020-08-26 19:47:50,63.92,127.47,39.49,72,0,3.18
298,Gaozhou,CN,2020-08-26 19:47:50,21.94,110.85,76.57,93,5,1.48
299,Tubuala,PA,2020-08-26 19:47:50,9.52,-79.03,84.99,70,40,11.41
300,Razole,IN,2020-08-26 19:47:50,16.48,81.83,77.34,89,100,5.19
301,Brae,GB,2020-08-26 19:47:50,60.4,-1.35,50.0,87,100,8.05
302,Mitu,CO,2020-08-26 19:47:50,1.2,-70.17,88.38,54,92,0.16
303,Vardo,NO,2020-08-26 19:47:51,70.37,31.11,50.0,93,75,12.75
